iter	RMSE
0	2.512408881
1	2.367826401
2	2.250198196
3	2.142227699
4	2.057359624
5	1.985355888
6	1.921563108
7	1.850807301
8	1.798128051
9	1.75080188
10	1.71055771
11	1.6687487
12	1.624769139
13	1.594510209
14	1.565004547
15	1.535076789
16	1.507273193
17	1.489130846
18	1.466962737
19	1.446916801
20	1.417972593
21	1.391770129
22	1.372966197
23	1.357784134
24	1.340256417
25	1.328663837
26	1.311984005
27	1.291987124
28	1.277314067
29	1.258047284
30	1.238135073
31	1.224688446
32	1.206166894
33	1.191945853
34	1.182025696
35	1.164098663
36	1.151540704
37	1.144400555
38	1.133364243
39	1.120839631
40	1.105117317
41	1.095046097
42	1.087680505
43	1.082074774
44	1.0719692
45	1.063300379
46	1.057793538
47	1.049003146
48	1.034998206
49	1.026216422
50	1.012537394
51	1.007994851
52	1.001683099
53	0.9980385728
54	0.9902750415
55	0.9835959647
56	0.9778046929
57	0.9708557296
58	0.9675043151
59	0.9619225152
60	0.9566454993
61	0.9492189841
62	0.9391185606
63	0.9352345638
64	0.9308387134
65	0.9282700442
66	0.9247068794
67	0.9187593527
68	0.9114085138
69	0.9094638547
70	0.9067445378
71	0.9043576788
72	0.9023672653
73	0.8966355023
74	0.8926005563
75	0.8897612724
76	0.8835362617
77	0.8815706299
78	0.8770471571
79	0.8738524642
80	0.8725449279
81	0.8679478939
82	0.8651800688
83	0.8635434982
84	0.8620755593
85	0.860518699
86	0.8562051405
87	0.8535211611
88	0.8521782379
89	0.8491120251
90	0.8469169953
91	0.8433733523
92	0.8392766083
93	0.837656512
94	0.8324622647
95	0.8307428457
96	0.8284877031
97	0.8265715945
98	0.8221099341
99	0.8191299939
100	0.8150161637
101	0.8139969248
102	0.810902113
103	0.8098587814
104	0.8090285157
105	0.8057254587
106	0.8031031789
107	0.8021813881
108	0.8008728306
109	0.7979869999
110	0.7922567737
111	0.7913948101
112	0.7893814056
113	0.7885926751
114	0.785949543
115	0.7834843333
116	0.7815124855
117	0.7802868117
118	0.7798245925
119	0.7774971277
120	0.7761855066
121	0.7741214261
122	0.7731820187
123	0.7716510121
124	0.7695193865
125	0.7676947175
126	0.7649998584
127	0.7640825966
128	0.7625107854
129	0.7606017615
130	0.7596292595
131	0.7579064214
132	0.7567027303
133	0.7556553064
134	0.7547389623
135	0.7535299685
136	0.7526939547
137	0.7506802424
138	0.7474967212
139	0.745986448
140	0.7453739054
141	0.7446991746
142	0.7433911561
143	0.7408187923
144	0.7401745924
145	0.739404251
146	0.7388973707
147	0.7367950081
148	0.7347572857
149	0.7330685959
150	0.7323357177
151	0.7314298707
152	0.7306470724
153	0.7301352915
154	0.7286434168
155	0.727426046
156	0.7247802597
157	0.7234903064
158	0.7222075285
159	0.7210168499
160	0.7198196785
161	0.7186937918
162	0.7178647121
163	0.7172840805
164	0.7164822183
165	0.7148517153
166	0.7140224085
167	0.7137218705
168	0.7130291967
169	0.7095103882
170	0.7085097412
171	0.707319315
172	0.7057062416
173	0.7044017202
174	0.7034771481
175	0.7027752283
176	0.7018503518
