iter	Passed	Remaining
0	91	91470
1	156	77849
2	224	74462
3	316	78831
4	433	86237
5	522	86635
6	611	86725
7	703	87229
8	783	86231
9	866	85825
10	941	84676
11	1026	84509
12	1107	84063
13	1185	83485
14	1275	83762
15	1404	86359
16	1502	86908
17	1587	86634
18	1680	86779
19	1773	86918
20	1864	86914
21	1954	86893
22	2042	86748
23	2127	86503
24	2219	86566
25	2299	86129
26	2378	85703
27	2455	85256
28	2549	85348
29	2678	86602
30	2825	88305
31	3024	91479
32	3168	92843
33	3291	93507
34	3435	94732
35	3544	94921
36	3632	94534
37	3732	94497
38	3830	94391
39	3928	94277
40	4033	94355
41	4127	94148
42	4246	94501
43	4335	94200
44	4446	94371
45	4547	94319
46	4653	94354
47	4808	95366
48	4906	95231
49	4998	94977
50	5116	95199
51	5199	94786
52	5294	94595
53	5376	94193
54	5473	94042
55	5560	93741
56	5652	93515
57	5737	93181
58	5815	92748
59	5904	92504
60	5991	92230
61	6072	91866
62	6169	91763
63	6318	92402
64	6407	92170
65	6487	91803
66	6573	91533
67	6653	91190
68	6752	91105
69	6828	90725
70	6912	90440
71	6992	90126
72	7079	89905
73	7172	89757
74	7260	89542
75	7356	89435
76	7486	89735
77	7577	89567
78	7663	89346
79	7751	89146
80	7832	88864
81	7921	88687
82	8004	88430
83	8085	88169
84	8171	87959
85	8266	87860
86	8364	87779
87	8439	87461
88	8516	87175
89	8599	86948
90	8686	86764
91	8767	86535
92	8858	86390
93	8933	86101
94	9018	85916
95	9106	85751
96	9186	85519
97	9268	85309
98	9358	85175
99	9447	85024
100	9530	84834
101	9611	84614
102	9695	84433
103	9774	84206
104	9854	84000
105	9940	83837
106	10026	83681
107	10109	83493
108	10191	83308
109	10280	83176
110	10381	83143
111	10468	83000
112	10560	82894
113	10639	82693
114	10727	82555
115	10814	82413
116	10898	82252
117	10980	82074
118	11059	81880
119	11150	81770
120	11322	82251
121	11419	82180
122	11522	82158
123	11611	82028
124	11702	81920
125	11798	81838
126	11881	81671
127	11975	81583
128	12051	81368
129	12140	81245
130	12214	81028
131	12301	80891
132	12394	80794
133	12483	80679
134	12574	80571
135	12664	80454
136	12766	80420
137	12853	80290
138	12951	80222
139	13036	80080
140	13136	80027
141	13215	79852
142	13317	79811
143	13404	79684
144	13499	79602
145	13580	79437
146	13674	79348
147	13765	79245
148	13877	79261
149	13974	79190
150	14055	79027
151	14136	78865
152	14212	78681
153	14286	78481
154	14370	78343
155	14460	78236
156	14540	78075
157	14625	77942
158	14701	77761
159	14789	77643
160	14874	77513
161	14958	77376
162	15051	77287
163	15169	77326
164	15271	77283
165	15382	77282
166	15480	77219
167	15598	77250
168	15761	77500
169	15868	77473
170	15972	77435
171	16074	77382
172	16172	77312
173	16264	77207
174	16344	77053
175	16422	76885
176	16502	76730
